Passengers,Distance,TotalCharge,AveSpeed,trip_duration,day,dayofweek,hour,TripCount
1,6.51,21.8,19.9116397621071,29,1,1,12,14
1,1.0,8.8,5.89198036006547,56,1,1,14,14
1,9.09,42.41,21.543120473996,71,1,1,14,14
2,0.99,14.04,3.78343949044586,61,1,1,14,14
2,3.2,24.36,6.49379932356257,73,1,1,14,14
1,1.5,11.75,7.68136557610242,53,1,1,14,14
5,1.6,13.8,4.96551724137931,58,1,1,14,14
1,2.61,16.56,8.352,50,1,1,14,14
2,1.19,12.74,5.84447476125511,47,1,1,14,14
1,0.9,11.3,4.69565217391304,63,1,1,12,14
1,3.2,21.3,5.80352644836272,56,1,1,14,14
5,3.22,16.8,8.05,45,1,1,14,14
1,0.6,9.8,3.2579185520362,24,1,1,14,14
1,1.1,11.3,4.21276595744681,27,1,1,14,14
5,0.91,10.8,3.49626467449306,24,1,1,14,14
1,2.5,13.8,10.752688172043,21,1,1,14,14
1,1.28,12.88,6.3646408839779,18,1,1,14,14
2,3.86,21.3,7.4911051212938,35,1,1,14,14
1,2.0,14.75,7.46887966804979,17,1,1,14,14
1,2.7,18.8,6.77351916376307,83,1,1,13,14
1,1.32,10.3,6.02281368821293,62,1,1,14,14
1,1.58,9.8,7.9,69,1,1,13,14
1,1.0,10.8,4.04949381327334,64,1,1,14,14
1,2.8,20.3,5.28301886792453,85,1,1,14,14
1,1.2,14.8,3.07473309608541,58,1,1,15,14
1,1.2,9.3,5.88555858310627,35,1,1,15,14
1,3.46,20.8,6.72570194384449,53,1,1,15,14
1,1.1,13.8,3.09616888193901,43,1,1,15,14
1,1.1,11.8,3.88235294117647,41,1,1,15,14
1,6.93,29.16,14.7185840707965,48,1,1,15,14
1,1.88,12.25,11.0048780487805,39,1,1,15,14
4,1.29,13.3,3.82537067545305,39,1,1,15,14
1,1.17,17.94,3.36690647482014,39,1,1,15,14
4,1.0,9.8,4.7244094488189,26,1,1,15,14
1,8.63,31.3,14.5109761793554,40,1,1,15,14
2,1.4,14.75,5.07042253521127,28,1,1,15,14
1,1.18,14.76,3.89724770642202,25,1,1,15,14
2,1.2,10.3,5.34653465346535,20,1,1,15,14
1,2.64,20.3,4.93201868188895,62,1,1,14,14
2,8.11,40.61,16.9154113557358,87,1,1,14,14
1,0.9,12.95,3.56828193832599,71,1,1,14,14
2,2.68,17.8,6.12960609911055,80,1,1,14,14
1,10.15,36.34,21.7370612730518,81,1,1,14,14
1,1.0,11.3,3.7696335078534,67,1,1,14,14
1,1.3,12.25,6.51810584958217,69,1,1,13,14
1,2.6,19.3,5.13721185510428,85,1,1,13,14
1,2.63,16.3,7.5744,72,1,1,13,14
